iter	Passed	Remaining
400	1067	1594
401	1069	1591
402	1071	1587
403	1074	1584
404	1076	1581
405	1079	1579
406	1081	1576
407	1084	1573
408	1086	1569
409	1088	1566
410	1091	1563
411	1093	1560
412	1095	1556
413	1097	1553
414	1099	1550
415	1101	1546
416	1104	1543
417	1106	1540
418	1108	1536
419	1110	1533
420	1113	1531
421	1115	1528
422	1118	1525
423	1120	1522
424	1122	1518
425	1125	1516
426	1127	1512
427	1129	1509
428	1131	1506
429	1133	1503
430	1135	1499
431	1138	1496
432	1140	1493
433	1142	1490
434	1144	1487
435	1147	1483
436	1149	1481
437	1151	1477
438	1154	1474
439	1156	1471
440	1158	1468
441	1160	1465
442	1163	1462
443	1165	1459
444	1167	1455
445	1169	1453
446	1172	1449
447	1174	1447
448	1176	1444
449	1179	1441
450	1181	1438
451	1184	1435
452	1186	1432
453	1188	1429
454	1190	1426
455	1193	1423
456	1196	1421
457	1198	1418
458	1201	1416
459	1204	1413
460	1206	1410
461	1209	1408
462	1211	1405
463	1214	1403
464	1217	1400
465	1219	1397
466	1222	1394
467	1224	1391
468	1227	1389
469	1229	1386
470	1231	1383
471	1233	1380
472	1235	1377
473	1238	1374
474	1241	1371
475	1243	1368
476	1246	1366
477	1248	1363
478	1250	1360
479	1253	1357
480	1255	1354
481	1258	1352
482	1261	1349
483	1263	1347
484	1265	1344
485	1267	1341
486	1270	1338
487	1272	1335
488	1274	1332
489	1276	1329
490	1279	1326
491	1281	1322
492	1283	1319
493	1285	1317
494	1288	1314
495	1290	1311
496	1293	1309
497	1296	1306
498	1298	1303
499	1300	1300
500	1303	1297
501	1305	1295
502	1307	1292
503	1310	1289
504	1312	1286
505	1315	1284
506	1317	1281
507	1319	1278
508	1322	1275
509	1324	1272
510	1327	1270
511	1329	1267
512	1331	1264
513	1334	1261
514	1336	1258
515	1338	1255
516	1341	1253
517	1343	1250
518	1345	1247
519	1348	1244
520	1350	1241
521	1352	1238
522	1355	1235
523	1357	1233
524	1360	1230
525	1362	1227
526	1364	1224
527	1367	1222
528	1369	1219
529	1372	1216
530	1374	1214
531	1377	1211
532	1379	1208
533	1382	1206
534	1384	1203
535	1387	1200
536	1389	1197
537	1391	1195
538	1394	1192
539	1396	1189
540	1399	1187
541	1401	1184
542	1404	1182
543	1407	1179
544	1410	1177
545	1412	1174
546	1414	1171
547	1417	1168
548	1419	1166
549	1421	1163
550	1425	1161
551	1427	1158
552	1430	1155
553	1432	1153
554	1435	1150
555	1437	1148
556	1440	1145
557	1442	1142
558	1445	1140
559	1447	1137
560	1450	1135
561	1452	1132
562	1455	1129
563	1457	1126
564	1460	1124
565	1462	1121
566	1465	1118
567	1467	1116
568	1470	1113
569	1474	1112
570	1476	1109
571	1478	1106
572	1481	1103
573	1483	1101
574	1487	1099
575	1489	1096
576	1492	1094
577	1494	1091
578	1497	1088
579	1499	1085
580	1503	1083
581	1505	1081
582	1507	1078
583	1510	1076
584	1513	1073
585	1516	1071
586	1518	1068
587	1520	1065
588	1523	1062
589	1525	1060
590	1527	1057
591	1530	1054
592	1532	1051
593	1535	1049
594	1537	1046
595	1539	1043
596	1542	1041
597	1544	1038
598	1547	1035
599	1549	1032
600	1552	1030
601	1554	1027
602	1557	1025
603	1559	1022
604	1562	1019
605	1564	1017
606	1566	1014
607	1569	1011
608	1572	1009
609	1574	1006
610	1577	1004
611	1579	1001
612	1582	998
613	1584	996
614	1587	993
615	1589	990
616	1591	987
617	1593	985
618	1596	982
619	1600	980
620	1603	978
621	1605	975
622	1608	973
623	1610	970
624	1613	968
625	1618	967
626	1620	964
627	1623	961
628	1626	959
629	1628	956
630	1631	953
631	1633	951
632	1636	948
633	1639	946
634	1642	944
635	1644	941
636	1650	940
637	1653	938
638	1655	935
639	1659	933
640	1661	930
641	1664	928
642	1667	925
643	1669	922
644	1672	920
645	1675	918
646	1678	915
647	1681	913
648	1684	910
649	1687	908
650	1689	905
651	1692	903
652	1695	900
653	1697	898
654	1699	895
655	1702	892
656	1704	890
657	1706	887
658	1709	884
659	1712	882
660	1714	879
661	1716	876
662	1719	873
663	1722	871
664	1724	868
665	1726	865
666	1729	863
667	1731	860
668	1733	857
669	1736	855
670	1739	852
671	1741	849
672	1743	847
673	1746	844
674	1749	842
675	1751	839
676	1754	836
677	1756	834
678	1758	831
679	1761	828
680	1763	826
681	1766	823
682	1768	820
683	1771	818
684	1773	815
685	1776	813
686	1779	810
687	1782	808
688	1784	805
689	1787	803
690	1789	800
691	1792	797
692	1794	795
693	1797	792
694	1800	790
695	1802	787
696	1804	784
697	1806	781
698	1809	779
699	1811	776
700	1813	773
701	1816	770
702	1819	768
703	1821	765
704	1823	763
705	1825	760
706	1828	757
707	1830	754
708	1832	752
709	1835	749
710	1837	746
711	1840	744
712	1842	741
713	1845	739
714	1847	736
715	1850	733
716	1852	731
717	1854	728
718	1857	725
719	1859	723
720	1861	720
721	1864	717
722	1866	715
723	1868	712
724	1871	709
725	1873	706
726	1875	704
727	1878	701
728	1880	699
729	1883	696
730	1885	693
731	1888	691
732	1891	689
733	1894	686
734	1896	683
735	1898	681
736	1900	678
737	1903	675
738	1905	673
739	1908	670
740	1910	667
741	1913	665
742	1915	662
743	1918	660
744	1920	657
745	1923	654
746	1926	652
747	1928	649
748	1930	647
749	1933	644
750	1936	641
751	1938	639
752	1941	636
753	1943	634
754	1946	631
755	1949	629
756	1951	626
757	1954	623
758	1956	621
759	1959	618
760	1961	616
761	1964	613
762	1966	610
763	1969	608
764	1972	605
765	1974	603
766	1977	600
767	1980	598
768	1982	595
769	1985	592
770	1987	590
771	1989	587
772	1992	585
773	1995	582
774	1997	580
775	2000	577
776	2003	574
777	2005	572
778	2008	569
779	2010	567
780	2013	564
781	2015	561
782	2017	559
783	2020	556
784	2023	554
785	2025	551
786	2027	548
787	2029	546
788	2032	543
789	2034	540
790	2037	538
791	2039	535
792	2042	533
793	2044	530
794	2047	527
795	2050	525
796	2052	522
797	2055	520
798	2057	517
799	2060	515
800	2062	512
801	2065	509
802	2068	507
803	2070	504
804	2073	502
805	2075	499
806	2078	496
807	2080	494
808	2083	491
809	2085	489
810	2087	486
811	2090	483
812	2092	481
813	2095	478
814	2098	476
815	2100	473
816	2103	471
817	2105	468
818	2108	465
819	2110	463
820	2113	460
821	2115	458
822	2118	455
823	2120	452
824	2122	450
825	2125	447
826	2127	445
827	2130	442
828	2133	440
829	2135	437
830	2138	434
831	2140	432
832	2143	429
833	2145	427
834	2148	424
835	2150	421
836	2153	419
837	2156	416
838	2158	414
839	2161	411
840	2165	409
841	2168	406
842	2170	404
843	2173	401
844	2176	399
845	2179	396
846	2182	394
847	2184	391
848	2187	389
849	2190	386
850	2192	383
851	2195	381
852	2197	378
853	2199	376
854	2202	373
855	2204	370
856	2206	368
857	2209	365
858	2211	363
859	2214	360
860	2217	357
861	2219	355
862	2222	352
863	2224	350
864	2227	347
865	2230	345
866	2233	342
867	2235	339
868	2238	337
869	2241	334
870	2244	332
871	2246	329
872	2249	327
873	2251	324
874	2254	322
875	2257	319
876	2259	316
877	2262	314
878	2264	311
879	2267	309
880	2269	306
881	2272	303
882	2315	306
883	2320	304
884	2323	301
885	2327	299
886	2331	297
887	2336	294
888	2340	292
889	2343	289
890	2348	287
891	2354	285
892	2361	282
893	2379	282
894	2384	279
895	2388	277
896	2392	274
897	2394	272
898	2398	269
899	2404	267
900	2410	264
901	2417	262
902	2420	260
903	2425	257
904	2427	254
905	2436	252
906	2440	250
907	2443	247
908	2446	244
909	2450	242
910	2470	241
911	2474	238
912	2477	236
913	2480	233
914	2484	230
915	2486	228
916	2489	225
917	2491	222
918	2495	219
919	2497	217
920	2500	214
921	2502	211
922	2505	209
923	2509	206
924	2511	203
925	2514	200
926	2516	198
927	2519	195
928	2522	192
929	2527	190
930	2530	187
931	2532	184
932	2535	182
933	2538	179
934	2540	176
935	2542	173
936	2546	171
937	2549	168
938	2552	165
939	2556	163
940	2560	160
941	2563	157
942	2566	155
943	2569	152
944	2572	149
945	2574	146
946	2578	144
947	2580	141
948	2582	138
949	2585	136
950	2588	133
951	2591	130
952	2594	127
953	2597	125
954	2599	122
955	2603	119
956	2605	117
957	2609	114
958	2611	111
959	2615	108
960	2618	106
961	2621	103
962	2623	100
963	2626	98
964	2629	95
965	2632	92
966	2635	89
967	2638	87
968	2640	84
969	2643	81
970	2647	79
971	2650	76
972	2652	73
973	2655	70
974	2657	68
975	2660	65
976	2663	62
977	2666	59
978	2668	57
979	2671	54
980	2675	51
981	2678	49
982	2682	46
983	2684	43
984	2687	40
985	2689	38
986	2692	35
987	2694	32
988	2697	29
989	2699	27
990	2702	24
991	2705	21
992	2707	19
993	2710	16
994	2712	13
995	2715	10
996	2718	8
997	2720	5
998	2723	2
999	2725	0
